NATO, English, This alphabet dates from about 1955 and is approved by the International Civil Aviation OrganizationCOMMA the FAA and the International Telecommunication Union. note that different bodies prefer different spellingsCOMMA so one also sees: Alfa Juliett Juliette Oskar Viktor, , alpha bravo charlie delta echo foxtrot golf hotel india juliet kilo lima mike november oscar papa quebec romeo sierra tango uniform victor whiskey xray yankee zulu
Telecom B, English, Found also in SwedishCOMMA DutchCOMMA Hungarian telephone directories. An 'analogy alphabet' in a Kenyan directory has Charlie and no Y. A Swiss directory: Andrew Charlie Lussy Queenie Sugar. French/German vocabulary books: Andrew Charlie Lucy Mike Nelly Sugar Xmas. English phrase books for Spanish/Italian speakers: Charlie. A 'British English' alphabet in a Langenscheidt dictionary: Andrew Charlie Lucy Queenie Sugar Xmas. Norwegian dictionary: Andrew Charlie Lucy Sugar Victory Xerxes. Collins Polish dictionary: Andrew Charlie Lucy Sugar Xmas..Used as an English alphabet by telephone operators in Israel, , alfred benjamin charles david edward frederick george harry isaac jack king london mary nellie oliver peter queen robert samuel tommy uncle victor william xray yellow zebra
British A, English, An 'international' alphabet in a Dutch telephone directory has: Danemark. A 'French' alphabet in a Hungarian directory has: Cassablanka Danemark Que'bec Upsala Zu"rich. An 'international' alphabet in a business book for French has: Italy Kilogram Zu"rich. the corresponding book for German has: Italy Kilogram Xanthippe Zu"rich. An 'international' alphabet in a Langenscheidt dictionary: Danemark Madagaskar Que'bec Upsala Xanthippe Zu"rich. An 'international' alphabet in a Larousse business book: Danemark Je'rusalem Que'bec Xanthippe..West Berlin telephone directory 1965: Danemark Je'rusalem Madagaskar Que'bec Upsala Xanthippe Zu"rich. Santa Fe (Argentina) 1955: Dinamarca Habana Jerusale'n Kilogramo Nueva_York N~andubay Upsala Wa'shington Xantipo Yokoama. Azores 1966: Danemark Ita'lia Jerusale'm New-York Que'bec Upsala Yokoham..Used as a French alphabet by telephone operators in Israel, , amsterdam baltimore casablanca denmark edison florida gallipoli havana italia jerusalem kilogramme liverpool madagascar new_york oslo paris quebec roma santiago tripoli uppsala valencia washington xantippe yokohama zurich
Bombay Telephone Directory, English, , 1962, army brother cinema doctor english father gold hotel india jam king lady mother navy orange paper queen raja sister table uncle victory water ray yellow zero
Kenyan and Tanzanian Telephone Directories, English, , 1966, africa bombay charlie durban england freddie george harry india japan kenya london mombasa nairobi orange peter queen robert sugar tanga uganda victory william ray yellow zanzibar
Johannesburg Telephone Directory, English, Note similarity to Alfred Benjamin, 1965, arthur betty charlie david edward frederick george harry isaac jane kate lucy mary nellie olive peter queen robert simon thomas union violet william ray york zero
Malayan Telephone Directory, English, , 1964, australia bombay china denmark england fiji ghana hongkong india japan kedah london malacca norway osaka penang queensland russia singapore turkey uganda victoria wales x'ray yokohama zanzibar
New York City Police, English, Note similarity to ARRL and Western Union..Variants: Eddie Larry Nancy Thomas Yankee Yellow, , adam boy charlie david edward frank george henry ida john king lincoln mary nora ocean peter queen robert sam tom union victor william ray young zebra
Nassau County PoliceCOMMA Long IslandCOMMA New York, English, , , adam boston chicago denver edward frank george henry ida john king lincoln mary nancy ocean peter queen robert sam thomas union victor william ray young zebra
San Diego PolliceCOMMA California, English, , , adam boy charles david edward frank george henry ida john king lincoln mary nora ocean paul queen robert sam tom unit victor william xray yellow zebra
HutchinsonCOMMA Kansas Police, English, , , adam boy charles david edward frank george henry ida john king lincoln mary nora ocean paul q robert sam tom union victor william ray yankee zebra
Amateur Radio, English, Alternative phonetics sometimes used unofficially in amateur radio..Also: AmsterdamCOMMA BaltimoreCOMMA BrazilCOMMA ChileCOMMA EgyptCOMMA FinlandCOMMA GenevaCOMMA GreeceCOMMA GuatemalaCOMMA HawaiiCOMMA ItalyCOMMA KentuckyCOMMA KingCOMMA LuxembourgCOMMA MontrealCOMMA NicaraguaCOMMA PortugalCOMMA RomaniaCOMMA RussiaCOMMA SwedenCOMMA TexasCOMMA UruguayCOMMA Venezuela, , america boston canada denmark england france germany honolulu i japan kilowatt london mexico norway ontario/ocean pacific q radio santiago/spain tokyo united victoria washington x yokohama zanzibar
ARRL (American Radio Relay League), English, Note similarity to Western Union and Able Baker..Nowadays the ARRL endorses the NATO/ICAO/ITU alphabet, 1948, adam baker charlie david edward frank george henry ida john king lewis mary nancy otto peter queen robert susan thomas union victor william ray young zebra
Pre-1954 U.S. Navy Radio, English, (Communications HandbookCOMMA 1945)..Note similarity to Able Buy Cast..Formerly used by IBM engineers for hex digits and pin positions. still used at at least one site., 1945, able baker charlie dog easy fox george how item jig king love mike nan oboe peter queen roger sugar tare uncle victor william ray yoke zebra
RAF, English, , 1942, apple beer charlie dog edward freddy george harry in jug/johnny king love mother nuts orange peter queen roger/robert suga tommy uncle vic william ray yoke/yorker zebra
US Navy, English, , 1940, affirmative baker cast dog easy fox george hypo interrogatory jig king love mike negative option preparatory queen roger sail tare unit victor william xray yoke zed
Western Union, English, , , adams boston chicago denver easy frank george henry ida john king lincoln mary new_york ocean peter queen roger sugar thomas union victor william ray young zero
British Army, English, , 1927, ack beer charlie don edward freddy george harry ink johnnie king london monkey nuts orange pip queen robert sugar toc uncle vic william ray yorker zebra
RAF, English, , 1924-42, ac beer charlie don edward freddie george harry ink johnnie king london monkey nuts orange pip queen robert sugar toc uncle vic william ray yorker zebra
Royal Navy, English, Wrens at Bletchley Park: Apple James Kenneth(?) Oliver Peter Quagga Unicorn William Xray, 1917, apples butter charlie duff edward freddy george harry ink johnnie king london monkey nuts orange pudding queenie robert sugar tommy uncle vinegar willie xerxes yellow zebra
US Army, English, , 1916, able buy cast dock easy fox george have item jig king love mike nap opal pup quack rush sail tape unit vice watch ray yoke zed
British (perhaps Post Office approved), English, , 1914, apple brother charlie dover eastern father george harry india jack king london mother november october peter queen robert sugar thomas uncle victoria wednesday xmas yellow zebra
British Forces, English, The OED has a reference for Beer and Emma dated 1891, 1904, ack beer c d e f g h i j k l m n o pip q r s toc u vic w x y z
A comme Anatole, French, Contributor: Erik Tjong Kim Sang <erikt@let.rug.nl>, , anatole bernard c'ecile denise e fran5cois g'erard henri isidore jean kl'eber louis marcel nicole oscar pierre quital robert suzanne th'er`ese ursule victor wagon xavier yvonne zo'e
Swiss Telephone Directory, French, , 1993, anna berthe ce'cile daniel emile francCOMMAois gustave henri ida jeanne kilo louise marie nicolas olga paul quittance robert suzanne the're`se ulysse victor william xavier yvonne zurich
